name,short_name,team_type,is_venue_host,group_id,group_order,prefecture,notes
浦和南高校,浦和南,local,true,A,1,埼玉県,会場担当校
市立浦和高校,市立浦和,local,true,B,1,埼玉県,会場担当校
浦和学院高校,浦和学院,local,true,C,1,埼玉県,会場担当校
武南高校,武南,local,true,D,1,埼玉県,会場担当校
浦和高校,浦和,local,false,A,2,埼玉県,
浦和西高校,浦和西,local,false,B,2,埼玉県,
浦和東高校,浦和東,local,false,C,2,埼玉県,
浦和北高校,浦和北,local,false,D,2,埼玉県,
大宮高校,大宮,local,false,A,3,埼玉県,
大宮東高校,大宮東,local,false,B,3,埼玉県,
川口高校,川口,local,false,C,3,埼玉県,
川口北高校,川口北,local,false,D,3,埼玉県,
青森山田高校,青森山田,invited,false,A,4,青森県,招待
前橋育英高校,前橋育英,invited,false,B,4,群馬県,招待
流通経済大柏高校,流経柏,invited,false,C,4,千葉県,招待
國學院久我山高校,久我山,invited,false,D,4,東京都,招待
桐光学園高校,桐光,invited,false,A,5,神奈川県,招待
静岡学園高校,静岡学園,invited,false,B,5,静岡県,招待
帝京長岡高校,帝京長岡,invited,false,C,5,新潟県,招待
昌平高校,昌平,invited,false,D,5,埼玉県,招待
西武台高校,西武台,local,false,A,6,埼玉県,
正智深谷高校,正智深谷,local,false,B,6,埼玉県,
聖望学園高校,聖望,local,false,C,6,埼玉県,
細田学園高校,細田,local,false,D,6,埼玉県,
